ID,Name,Molecular Formula,SMILES
L7460,17:0-20:3 DG-d5,C40H67H5O5, [H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC 
L7461,17:0-22:4 DG-d5,C42H69H5O5, [H][C@](C([H])([H])O)(C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC  
L7462,17:0-14:1 PI-d5 (NH4 Salt),C40H73H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCC
L7463,17:0-16:1 PI-d5 (NH4 Salt),C42H77H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCCCC
L7464,17:0-18:1 PI-d5 (NH4 Salt),C44H81H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCCCCCC
L7465,17:0-20:3 PI-d5 (NH4 Salt),C46H81H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\CCCCCC
L7466,17:0-22:4 PI-d5 (NH4 Salt),C48H83H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
L7467,15:0 Lyso PI-d5 (NH4 Salt),C24H45H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O
L7468,17:0 Lyso PI-d5 (NH4 Salt),C26H49H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O
L7469,19:0 Lyso PI-d5 (NH4 Salt),C28H53H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O
L7470,15:0 Lyso PS-d5 (Na Salt),C21H36H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O
L7471,17:0 Lyso PS-d5 (Na Salt),C23H40H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O
L7472,19:0 Lyso PS-d5 (Na Salt),C25H44H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O
L7473,15:0 Lyso PG-d5 (Na Salt),C21H37H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O
L7474,17:0 Lyso PG-d5 (Na Salt),C23H41H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O
L7475,19:0 Lyso PG-d5 (Na Salt),C25H45H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O
L7476,15:0 Lyso PC-d5,C23H43H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O
L7477,17:0 Lyso PC-d5,C25H47H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O
L7478,19:0 Lyso PC-d5,C27H51H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O
L7479,15:0 Lyso PE-d5,C20H37H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O
L7480,17:0 Lyso PE-d5,C22H41H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O
