ID,Name,Molecular Formula,SMILES
L7481,19:0 Lyso PE-d5,C24H45H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O
L1792,FA 20:0,,CCCCCCCCCCCCCCCCCCCC(=O)O
L1793,FA 20:1,,CCCCCCCCCCCCCCCCCC=CC(=O)O
L1798,FA 20:2,,CCCCCCCCCCCCCCCC=CC=CC(=O)O
L1799,FA 20:3,,CCCCCCCCCCCCCC=CC=CC=CC(=O)O
L1802,FA 20:4,,CCCCCCCCCCCC=CC=CC=CC=CC(=O)O
L1808,FA 20:5,,CCCCCCCCCC=CC=CC=CC=CC=CC(=O)O
L1809,TG(16:0_16:0_18:0),C53 H102 O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
L1811,TG(16:0_16:0_18:2),C53 H98 O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC=CC=CC
L1814,TG(16:0_16:1_18:3),C53 H94 O6,CC=CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC=CC=CC=CC
L1816,TG(18:0_20:0_18:1),C59 H112 O6,CC=CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
L1818,LPC(18:1),C26 H52 N1 O7 P1,CC=CCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C
L1820,LPI(18:0),C27 H53 O12 P1,CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O
L1822,LPI(18:2),C27 H49 O12 P1,CC=CC=CCCCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O
L1824,LPE(22:5),C27 H46 N1 O7 P1,CC=CC=CC=CC=CC=CCCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCCN
L1826,LPC(22:5),C30 H52 N1 O7 P1,CC=CC=CC=CC=CC=CCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C
