NO,Name,Molecular Formula,SMILES,RT,RT1,RT2,RT3,RT4,timspro
L7463,17:0-16:1 PI-d5 (NH4 Salt),C42H77H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCCCC,6.13,11.96,4.04,7.415,8.64,7.6
L7464,17:0-18:1 PI-d5 (NH4 Salt),C44H81H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\CCCCCCCCCC,7.87,12.9075,4.78,8.2375,9.4525,8.4
L7465,17:0-20:3 PI-d5 (NH4 Salt),C46H81H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\CCCCCC,6.94,12.55,4.4225,7.85,8.9575,8
L7466,17:0-22:4 PI-d5 (NH4 Salt),C48H83H5NO13P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,7.5,12.8875,4.66,8.1275,9.1825,8.1
L7467,15:0 Lyso PI-d5 (NH4 Salt),C24H45H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O,0.94,7.5575,0.9425,1.0875,3.12,1.3
L7468,17:0 Lyso PI-d5 (NH4 Salt),C26H49H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O,1.23,8.2825,1.2775,1.5425,4.115,1.7
L7469,19:0 Lyso PI-d5 (NH4 Salt),C28H53H5NO12P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC1[C@@H]([C@H](C([C@H]([C@H]1O)O)O)O)O)O,1.69,8.915,1.805,2.265,5.165,2.8
L7470,15:0 Lyso PS-d5 (Na Salt),C21H36H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O,1,7.5625,0.9575,1.1025,3.155,4.1
L7471,17:0 Lyso PS-d5 (Na Salt),C23H40H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O,1.29,8.29,1.3,1.5675,4.17,5.8
L7472,19:0 Lyso PS-d5 (Na Salt),C25H44H5NNaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OC[C@@H](C(=O)O)N)O,1.79,8.915,1.835,2.3025,5.225,1.5
L7473,15:0 Lyso PG-d5 (Na Salt),C21H37H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O,1,7.69,1.015,1.225,3.2875,1.4
L7474,17:0 Lyso PG-d5 (Na Salt),C23H41H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O,1.31,8.395,1.4025,1.765,4.2975,1.6
L7475,19:0 Lyso PG-d5 (Na Salt),C25H45H5NaO9P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([OH])OCC(CO)O)O,1.83,9.0025,1.9475,2.5675,5.3325,1.3
L7476,15:0 Lyso PC-d5,C23H43H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O,1.1,8.0475,1.1575,1.405,3.555,1.6
L7477,17:0 Lyso PC-d5,C25H47H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O,1.5,8.7775,1.6275,2.05,4.6225,2.3
L7478,19:0 Lyso PC-d5,C27H51H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCCCCCC)(C([H])([H])OP(=O)([O-])OCC[N+](C)(C)C)O,2.12,9.41,2.21,2.995,5.665,3.4
L7479,15:0 Lyso PE-d5,C20H37H5NO7P,[H][C@@](C([H])([H])OC(=O)CCCCCCCCCCCCCC)(C([H])([H])OP(=O)(O)OCCN)O,1.15,8.135,1.1975,1.4525,3.705,1.7
