original_column,renamed_column
nssssBm,DP0702
nsCH3,DP0703
ndCH2,DP0704
nssCH2,DP0705
ntCH,DP0706
ndsCH,DP0707
naaCH,DP0708
nsssCH,DP0709
nddC,DP0710
ntsC,DP0711
ndssC,DP0712
naasC,DP0713
naaaC,DP0714
nssssC,DP0715
nsNH3p,DP0716
nsNH2,DP0717
nssNH2p,DP0718
ndNH,DP0719
nssNH,DP0720
naaNH,DP0721
ntN,DP0722
nsssNHp,DP0723
ndsN,DP0724
naaN,DP0725
nsssN,DP0726
nddsN,DP0727
naasN,DP0728
nssssNp,DP0729
nsOH,DP0730
ndO,DP0731
nssO,DP0732
naaO,DP0733
naOm,DP0734
nsOm,DP0735
nsF,DP0736
nsSiH3,DP0737
nssSiH2,DP0738
nsssSiH,DP0739
nssssSi,DP0740
nsPH2,DP0741
nssPH,DP0742
nsssP,DP0743
ndsssP,DP0744
nddsP,DP0745
nsssssP,DP0746
nsSH,DP0747
ndS,DP0748
nssS,DP0749
naaS,DP0750
ndssS,DP0751
nddssS,DP0752
nssssssS,DP0753
nSm,DP0754
nsCl,DP0755
nsGeH3,DP0756
nssGeH2,DP0757
nsssGeH,DP0758
nssssGe,DP0759
nsAsH2,DP0760
nssAsH,DP0761
nsssAs,DP0762
ndsssAs,DP0763
nddsAs,DP0764
nsssssAs,DP0765
nsSeH,DP0766
ndSe,DP0767
nssSe,DP0768
naaSe,DP0769
ndssSe,DP0770
nssssssSe,DP0771
nddssSe,DP0772
nsBr,DP0773
nsSnH3,DP0774
nssSnH2,DP0775
nsssSnH,DP0776
nssssSn,DP0777
nsI,DP0778
nsPbH3,DP0779
nssPbH2,DP0780
nsssPbH,DP0781
nssssPb,DP0782
SHBd,DP0783
SwHBd,DP0784
SHBa,DP0785
SwHBa,DP0786
SHBint2,DP0787
SHBint3,DP0788
SHBint4,DP0789
SHBint5,DP0790
SHBint6,DP0791
SHBint7,DP0792
SHBint8,DP0793
SHBint9,DP0794
SHBint10,DP0795
SHsOH,DP0796
SHdNH,DP0797
SHsSH,DP0798
SHsNH2,DP0799
SHssNH,DP0800
SHaaNH,DP0801
SHsNH3p,DP0802
SHssNH2p,DP0803
SHsssNHp,DP0804
SHtCH,DP0805
SHdCH2,DP0806
SHdsCH,DP0807
SHaaCH,DP0808
SHCHnX,DP0809
SHCsats,DP0810
SHCsatu,DP0811
SHAvin,DP0812
SHother,DP0813
SHmisc,DP0814
SsLi,DP0815
SssBe,DP0816
SssssBem,DP0817
SsBH2,DP0818
SssBH,DP0819
SsssB,DP0820
SssssBm,DP0821
SsCH3,DP0822
SdCH2,DP0823
SssCH2,DP0824
StCH,DP0825
SdsCH,DP0826
SaaCH,DP0827
SsssCH,DP0828
SddC,DP0829
StsC,DP0830
SdssC,DP0831
SaasC,DP0832
SaaaC,DP0833
SssssC,DP0834
SsNH3p,DP0835
SsNH2,DP0836
SssNH2p,DP0837
SdNH,DP0838
SssNH,DP0839
SaaNH,DP0840
StN,DP0841
SsssNHp,DP0842
SdsN,DP0843
SaaN,DP0844
SsssN,DP0845
SddsN,DP0846
SaasN,DP0847
SssssNp,DP0848
SsOH,DP0849
SdO,DP0850
SssO,DP0851
SaaO,DP0852
SaOm,DP0853
SsOm,DP0854
SsF,DP0855
SsSiH3,DP0856
SssSiH2,DP0857
SsssSiH,DP0858
SssssSi,DP0859
SsPH2,DP0860
SssPH,DP0861
SsssP,DP0862
SdsssP,DP0863
SddsP,DP0864
SsssssP,DP0865
SsSH,DP0866
SdS,DP0867
SssS,DP0868
SaaS,DP0869
SdssS,DP0870
SddssS,DP0871
SssssssS,DP0872
SSm,DP0873
SsCl,DP0874
SsGeH3,DP0875
SssGeH2,DP0876
SsssGeH,DP0877
SssssGe,DP0878
SsAsH2,DP0879
SssAsH,DP0880
SsssAs,DP0881
SdsssAs,DP0882
SddsAs,DP0883
SsssssAs,DP0884
SsSeH,DP0885
SdSe,DP0886
SssSe,DP0887
SaaSe,DP0888
SdssSe,DP0889
SssssssSe,DP0890
SddssSe,DP0891
SsBr,DP0892
SsSnH3,DP0893
SssSnH2,DP0894
SsssSnH,DP0895
SssssSn,DP0896
SsI,DP0897
SsPbH3,DP0898
SssPbH2,DP0899
SsssPbH,DP0900
SssssPb,DP0901
minHBd,DP0902
minwHBd,DP0903
minHBa,DP0904
minwHBa,DP0905
minHBint2,DP0906
minHBint3,DP0907
minHBint4,DP0908
minHBint5,DP0909
minHBint6,DP0910
minHBint7,DP0911
minHBint8,DP0912
minHBint9,DP0913
minHBint10,DP0914
minHsOH,DP0915
minHdNH,DP0916
minHsSH,DP0917
minHsNH2,DP0918
minHssNH,DP0919
minHaaNH,DP0920
minHsNH3p,DP0921
minHssNH2p,DP0922
minHsssNHp,DP0923
minHtCH,DP0924
minHdCH2,DP0925
minHdsCH,DP0926
